行政區域代碼,業者名稱店名,食品業者登錄字號,地址,評核結果
63000110,ㄚ寶檸檬_天母SOGO店,A-153765258-00004-3,臺北市士林區中山北路6段77號8樓,優
63000020,康青龍_台北101店,A-124959430-00006-0,臺北市信義區市府路45號B1,優
63000020,一風堂 TAIPEI101,A-153697365-00021-5,臺北市信義區市府路45號B1,優
63000020,忠青商行 TAIPEI101,A-142634580-00021-3,臺北市信義區市府路45號B1,優
63000020,Miss v cafe  TAIPEI101,A-154334320-00005-7,臺北市信義區市府路45號B1,優
63000020,阿達師五星麵鋪-台北101店,A-128841757-00103-4,臺北市信義區市府路45號B1,優
63000020,日出茶太-台北101店,A-180671769-00287-9,臺北市信義區市府路45號B1,優
63000020,先喝道-台北101店,A-153951936-00081-8,臺北市信義區市府路45號B1,優
63000020,橋村炸雞-台北101店,A-142756204-00173-9,臺北市信義區市府路45號B1,優
63000020,名廚排骨-台北信義新天地A11,A-123580509-00001-1,臺北市信義區松壽路11號B2,優
63000020,翰林茶館-台北信義新天地A11,A-184957153-00054-9,臺北市信義區松壽路11號B2,優
63000020,蔬河-台北信義新天地A11,A-154675966-00003-9,臺北市信義區松壽路11號B2,優
63000020,大師兄銷魂麵舖-台北信義新天地A11,A-155742288-00000-9,臺北市信義區松壽路11號B2,優
63000020,佳佳甜品-台北信義新天地A11,A-159035271-00003-3,臺北市信義區松壽路11號2F,優
63000020,京都勝牛-台北信義新天地A11,A-142756204-00106-5,臺北市信義區松壽路11號B2,優
63000020,韓姜熙-台北信義新天地A11,A-152801642-00015-2,臺北市信義區松壽路11號B2,優
63000020,新高軒-台北信義新天地A11,A-200151563-00001-1,臺北市信義區松壽路11號B2,優
63000020,自然點-台北信義新天地A11,A-141077684-00002-7,臺北市信義區松壽路11號B2,優
63000020,吉甜不辣-台北信義新天地A11,A-142615731-00004-1,臺北市信義區松壽路11號B2,優
63000020,CHURROS-台北信義新天地A11,A-166454559-00007-9,臺北市信義區松壽路11號2號樓空橋,優
63000020,MARCHMOON-台北信義新天地A11,A-182232204-00001-2,臺北市信義區松壽路11號B2,優
63000020,龜記-台北信義新天地A11,A-166641441-00058-3,臺北市信義區松壽路11號 2號樓空橋,優
63000020,哈記-台北信義新天地A11,A-190422255-00002-9,臺北市信義區松壽路11號B2,優
63000020,春芳號-台北信義新天地A11,A-150754263-00000-0,臺北市信義區松壽路11號,優
63000020,橋村炸雞-台北信義新天地A11,A-142756204-00176-2,臺北市信義區松壽路11號B2,優
63000020,威太郎&KIKI將-台北信義新天地A11,A-190472682-00006-2,臺北市信義區松壽路11號B2,優
63000020,吃你豆腐-台北信義新天地A11,A-183031021-00003-9,臺北市信義區松壽路11號B2,優
63000020,德州美墨炸雞_微風南山店,A-200136071-00001-8,臺北市信義區松智路17號B2,優
63000020,東方洋行_微風南山,A-183288612-00000-6,臺北市信義區松智路17號B2,優
63000020,湯布院本川製麵所_微風南山,A-127994467-00014-1,臺北市信義區松智路17號B2,優
63000020,Due Italian-新光三越信義新天地A4館,A-153917972-00006-7,臺北市信義區松高路19號B2,優
63000020,KEY COFFEE-新光三越信義新天地A4館,A-122175159-00003-3,臺北市信義區松高路19號B2,優
